symbol,year,quarter
NIHD,1173.91,41.55
VKTX,732.62,50.0
TPNL,729.79,48.29
AMRN,470.61,568.92
TNDM,411.81,60.85
NEPT,326.26,38.36
CDNA,308.42,85.41
CRON,307.35,40.58
CSBR,306.85,127.63
EXPI,305.0,41.19
PRQR,286.3,153.86
FATE,271.9,27.82
OASM,254.37,186.81
HIIQ,239.88,60.37
SHSP,227.3,30.44
STAA,221.09,37.54
MFIN,212.99,32.18
ROKU,204.13,44.49
IRMD,199.42,45.17
EYPT,167.46,48.46
NBEV,165.93,315.2
NVCR,165.48,52.9
VCEL,164.15,32.08
PTSI,163.52,26.28
DXCM,163.42,25.96
IRDMB,161.68,60.97
KALV,158.61,106.12
ANAB,158.5,28.27
AMRS,157.19,26.85
CATS,157.0,56.7
ATTU,150.29,45.4
OCC,147.64,40.44
INSG,144.67,87.24
EDUC,140.41,26.05
REGI,135.37,66.06
OKTA,134.63,25.55
VTNR,130.23,75.0
FTNT,124.86,32.93
STKS,124.53,56.58
TEAM,123.75,31.77
SODA,122.57,60.5
MTCH,121.93,40.56
WING,121.77,29.44
VNOM,121.35,28.28
TTD,118.83,41.09
RETA,117.43,75.59
AMED,116.48,25.86
ATAI,115.46,130.36
WSCI,113.74,33.97
SNMX,111.27,25.0
EPAY,110.37,28.77
NTWK,110.14,36.96
QRHC,109.71,31.82
GHDX,107.89,34.33
AMD,105.02,64.66
ENDP,100.58,54.81
